query,type,avg_genre_overlap,intra_list_diversity,avg_similarity,type_consistency,n_recs
Rahasya,Movie,1.0,0.0,1.0,1.0,10
Ask the Doctor,TV Show,1.0,0.1568,0.897,1.0,10
Mad Men,TV Show,1.0,0.0,1.0,1.0,10
The Man Who Feels No Pain,Movie,1.0,0.1232,0.9287,1.0,10
ReMastered: Who Killed Jam Master Jay?,Movie,1.0,0.0882,0.6345,1.0,10
Bigflo & Oli: Hip Hop Frenzy,Movie,1.0,0.1382,0.8695,1.0,10
Gaga: Five Foot Two,Movie,1.0,0.0,1.0,1.0,10
Without Gorky,Movie,1.0,0.2332,0.5557,1.0,10
Acts of Violence,Movie,1.0,0.0495,0.9257,1.0,10
Class of '83,Movie,1.0,0.0,0.9287,1.0,10
The Little Mermaid,Movie,1.0,0.1107,0.8814,1.0,10
Silent,Movie,0.8,0.4964,0.6523,0.9,10
Young Adult,Movie,1.0,0.0,0.611,1.0,10
Bling Empire - The Afterparty,Movie,1.0,0.2139,0.6743,1.0,10
The Bucket List,Movie,1.0,0.0726,0.6702,1.0,10
Tayo the Little Bus Movie: Mission Ace,Movie,1.0,0.0,0.714,1.0,10
Tobot,TV Show,1.0,0.0574,0.9106,1.0,10
Elstree 1976,Movie,1.0,0.0545,0.9592,1.0,10
The Edge of Seventeen,Movie,1.0,0.0634,0.9618,1.0,10
Evil,TV Show,1.0,0.0,1.0,1.0,10
Paris Is Burning,Movie,0.0,0.5985,0.5004,1.0,10
GAME ON: A Comedy Crossover Event,TV Show,1.0,0.0426,0.9591,1.0,10
Cold Harbour,Movie,1.0,0.1199,0.7785,1.0,10
Maggie & Bianca: Fashion Friends,TV Show,0.95,0.2415,0.6729,1.0,10
Away From Home,TV Show,1.0,0.0324,0.9818,1.0,10
Where the Money Is,Movie,1.0,0.0581,0.7955,1.0,10
Voltron: Legendary Defender,TV Show,1.0,0.0,1.0,1.0,10
The Great Raid,Movie,1.0,0.0714,0.6397,1.0,10
Jackpot,Movie,1.0,0.0,0.7147,1.0,10
Red Snow,Movie,1.0,0.0819,0.9082,1.0,10
Cracked Up: The Darrell Hammond Story,Movie,1.0,0.0,1.0,1.0,10
Outback Truckers,TV Show,1.0,0.0889,0.845,1.0,10
The Investigator: A British Crime Story,TV Show,1.0,0.0305,0.979,1.0,10
The Tenth Man,Movie,1.0,0.1788,0.8673,1.0,10
Mars Attacks!,Movie,0.2333,0.7609,0.3913,0.8,10
Charlie's Colorforms City,TV Show,1.0,0.0,1.0,1.0,10
Tezz,Movie,1.0,0.2969,0.6197,1.0,10
Love Cheque Charge,TV Show,1.0,0.0,1.0,1.0,10
Da Kath & Kim Code,Movie,0.9,0.3161,0.5677,1.0,10
Vir Das: Losing It,Movie,1.0,0.0,1.0,1.0,10
Because We're Heading Out,Movie,1.0,0.2653,0.5987,1.0,10
Jo Pil-ho: The Dawning Rage,Movie,1.0,0.0756,0.8953,1.0,10
Prank Encounters,TV Show,0.4,0.2124,0.3608,1.0,10
Sirius the Jaeger,TV Show,0.6333,0.6073,0.5291,1.0,10
Four Christmases,Movie,1.0,0.0525,0.8614,1.0,10
So Not Worth It,TV Show,1.0,0.1364,0.8971,1.0,10
Million Pound Menu,TV Show,1.0,0.0394,0.9642,1.0,10
"My Schoolmate, the Barbarian",Movie,1.0,0.1196,0.8003,1.0,10
Peasants Rebellion,TV Show,1.0,0.0887,0.7467,1.0,10
The Curious Creations of Christine McConnell,TV Show,0.25,0.4109,0.7242,1.0,10
Hello Brother,Movie,1.0,0.1052,0.8483,1.0,10
It Takes a Man and a Woman,Movie,0.7,0.1898,0.7288,1.0,10
Dil Vil Pyaar Vyaar,Movie,0.6667,0.5905,0.4929,1.0,10
Boys Over Flowers,TV Show,1.0,0.0,0.9491,1.0,10
Nila,Movie,1.0,0.0555,0.9596,1.0,10
The Hollywood Masters,TV Show,1.0,0.4888,0.6721,1.0,10
Eyes of a Thief,Movie,1.0,0.1132,0.5688,1.0,10
Hell and Back,Movie,0.7,0.6233,0.5691,1.0,10
Dawn of the Croods,TV Show,1.0,0.0,1.0,1.0,10
The Pursuit,Movie,1.0,0.0,1.0,1.0,10
Gina Yashere: Laughing to America,Movie,1.0,0.0372,0.9776,1.0,10
Swearnet Live,Movie,0.8,0.3803,0.5623,1.0,10
Chhota Bheem And The Broken Amulet,Movie,1.0,0.0,1.0,1.0,10
Barbie Dolphin Magic,Movie,1.0,0.2003,0.6611,1.0,10
Velvet Buzzsaw,Movie,1.0,0.1984,0.6257,1.0,10
Bilu Rakkhosh,Movie,1.0,0.0,1.0,1.0,10
Harlem Globetrotters: The Team That Changed the World,Movie,1.0,0.1504,0.7626,1.0,10
Gilmore Girls,TV Show,1.0,0.1016,0.9113,1.0,10
Secrets of the Saqqara Tomb,Movie,1.0,0.0702,0.921,1.0,10
The Magic School Bus Rides Again In the Zone,Movie,1.0,0.2137,0.6553,1.0,10
Four Sisters Before the Wedding,Movie,0.8333,0.5563,0.6077,1.0,10
Find Yourself,TV Show,1.0,0.0098,0.9561,1.0,10
Survivors Guide to Prison,Movie,1.0,0.0,1.0,1.0,10
Ophelia,Movie,1.0,0.0623,0.9425,1.0,10
